Energy,Count
-8.789119383174466, 3204.374225132633
-4.898850747173356, 5550.433925676392
0.08143163567001466, 9186.826461518882
1.8785182898113817, 38981.78465842269
1.9031359152106688, 60096.32196331513
2.3804443187837023, 24905.42645516107
4.228680927921459, 98571.70105223008
4.482857910168377, 49832.31077343668
4.511236561670103, 74172.68016657676
4.5235453743696326, 84729.94881902286
6.570911220069775, 62442.381663858425
9.139076607548304, 42266.26823918382
13.796526186198207, 35755.95257017505
15.338204976823135, 24318.91153002507
18.453360324213236, 28717.77346854424
21.963423412382326, 38395.269733286696
26.232188038896084, 31943.60555679188
30.896544229116444, 31357.090631655883
35.560900419336804, 30770.575706519885
40.22252131784603, 27838.001080840593
44.887561330994004, 27838.001080840593
49.552601344142204, 27838.001080840593
54.21764135729018, 27838.001080840593
58.88268137043815, 27838.001080840593
63.55045667529748, 30184.06078138412
68.21942867027997, 33556.521600915585
71.34261893707162, 44846.93390978151
71.87463317486527, 56577.23241249961
73.4993964512123, 116401.7547763614
73.71890361102191, 82383.8891184791
73.73121242372144, 92941.15777092543
73.7435212364212, 103498.42642337154
73.96439604208604, 70653.59061576123
74.6605277825413, 223147.47115109512
74.67283659524082, 233704.73980354122
75.32828087149437, 129011.82566678314
75.33956394980237, 138689.3219315256
75.3518727625019, 149246.5905839717
75.36418157520166, 159803.85923641804
75.37649038790119, 170361.12788886414
75.38879920060072, 180918.39654131024
75.40110801330047, 191475.66519375658
75.413416826, 202032.93384620268
75.42572563869953, 212590.202498649
77.04228303991363, 265376.54576088
77.77055445797328, 223147.47115109512
77.7828632706728, 233704.73980354122
77.79517208337234, 244262.00845598755
77.8074808960721, 254819.27710843366
79.31018177981491, 209950.88533553737
80.03332452591644, 163322.94878723333
80.04563333861597, 173880.21743967943
80.0579421513155, 184437.48609212576
80.07025096401503, 194994.75474457187
81.31412486960244, 150419.62043424346
81.54730848796703, 128132.05327907926
81.55756583188327, 136929.77715611784
82.31455781290856, 119334.32940204092
85.42150728516572, 116695.01223892928
88.20391439591026, 102442.69955812697
90.0609039385231, 94700.70254633296
92.86936470281489, 102794.60851320857
96.2816411123149, 95287.21747146896
100.94599730253526, 94700.70254633296
105.60830202397233, 92354.64284578944
110.27197439126485, 91181.61299551767
114.9383820502685, 92354.64284578944
119.6109441156218, 98806.30702228448
120.14569364512681, 112882.66522554611
121.23297210025794, 156284.7696856025
121.73216283751935, 139862.35178179736
121.97560379980041, 126372.50850367174
124.04266374581948, 165434.4025177227
124.33752819226788, 151592.65028451546
126.39720285066755, 139862.35178179736
127.41712474741485, 125492.73611596785
132.07806182299646, 121973.64656515233
133.61974061362116, 110536.60552500235
136.34152682182003, 110976.49171885429
138.27862622041948, 105257.9711987793
141.07970169709142, 107017.51597418706
146.05437673192728, 105844.4861239153
150.7153138075089, 102325.39657309977
155.37966999772925, 101738.88164796378
160.04265854209416, 99979.33687255625
164.70564708645884, 98219.79209714849
169.3693194537516, 97046.76224687672
174.03162417518843, 94700.70254633296
178.69666418833663, 94700.70254633296
183.36033655562915, 93527.67269606143
188.0226412770662, 91181.61299551767
192.6876812902142, 91181.61299551767
197.3527213033624, 91181.61299551767
202.01502602479945, 88835.55329497391
206.6786983920922, 87662.52344470238
211.34373840524017, 87662.52344470238
216.00877841838815, 87662.52344470238
220.66971549396976, 84143.43389388686
225.33475550711773, 84143.43389388686
229.99979552026593, 84143.43389388686
234.6648355334139, 84143.43389388686
239.3298755465621, 84143.43389388686
243.99491555971008, 84143.43389388686
248.65653645821953, 81210.85926820734
253.32089264843967, 80624.34434307157
257.98593266158787, 80624.34434307157
262.65097267473584, 80624.34434307157
267.31601268788404, 80624.34434307157
271.981052701032, 80624.34434307157
276.64472506832476, 79451.31449279981
281.697834592974, 78864.79956766381
285.5976767499635, 89422.06822010991
287.53323754697567, 82383.8891184791
292.1948584454849, 79451.31449279981
296.85716316692196, 77105.25479225605
301.52220318006994, 77105.25479225605
306.18724319321814, 77105.25479225605
310.8522832063661, 77105.25479225605
315.5173232195143, 77105.25479225605
320.1823632326623, 77105.25479225605
324.8446679540996, 74759.19509171252
329.50834032139187, 73586.16524144076
334.17338033453984, 73586.16524144076
338.83842034768804, 73586.16524144076
343.503460360836, 73586.16524144076
348.1685003739842, 73586.16524144076
352.8335403871322, 73586.16524144076
357.49721275442494, 72413.135391169
362.16088512171746, 71240.105540897
366.8245574890102, 70067.07569062524
371.4895975021582, 70067.07569062524
376.1546375153064, 70067.07569062524
380.81967752845435, 70067.07569062524
385.48471754160255, 70067.07569062524
390.1497575547505, 70067.07569062524
394.8147975678987, 70067.07569062524
399.4798375810467, 70067.07569062524
404.1469290629782, 71826.620466033
408.81470436783707, 74172.68016657676
413.09389729399913, 76665.36859840411
418.1441005712054, 73586.16524144076
422.80572146971485, 70653.59061576123
427.4700776599352, 70067.07569062524
432.13648531893875, 71240.105540897
436.80357680087013, 72999.65031630476
441.46519769937936, 70067.07569062524
446.13023771252745, 70067.07569062524
450.7918586110368, 67134.50106494594
455.45621480125715, 66547.98613980995
460.12125481440523, 66547.98613980995
464.7862948275533, 66547.98613980995
469.4513348407014, 66547.98613980995
474.1163748538494, 66547.98613980995
478.78141486699747, 66547.98613980995
483.44645488014555, 66547.98613980995
488.11149489329364, 66547.98613980995
492.77721872936945, 67134.50106494594
497.05589878833575, 69187.30330292135
502.1066149327379, 66547.98613980995
506.771654945886, 66547.98613980995
511.43669495903407, 66547.98613980995
516.1017349721822, 66547.98613980995
520.7695102770413, 68894.04584035347
525.4379694048281, 71826.620466033
